ID (do not edit),Content type,Element type,Source language (PL),Target language (EN)
"{""contentId"":""9b153491-c5b6-42a2-a0a9-db5a114aa08e"",""fieldId"":""product.name"",""sequencePath"":[]}",TEXT,catalog-product,Tajska Emulsja Flying Rabbit - Wsparcie dla Układu Pokarmowego 50ml,Thai Emulsion Flying Rabbit - Support for the Digestive System 50ml
"{""contentId"":""9b153491-c5b6-42a2-a0a9-db5a114aa08e"",""fieldId"":""product.description"",""sequencePath"":[]}",TEXT,catalog-product,"
<div class=""item item-12"">

<h1>Tajska Emulsja Flying Rabbit – Wsparcie dla Układu Pokarmowego 50ml</h1>
<p>Tajska emulsja Flying Rabbit to naturalny preparat wspierający zdrowie układu pokarmowego. Zawiera ekstrakty roślinne, które pomagają w trawieniu, łagodzą dyskomfort żołądkowy i wspierają regenerację przewodu pokarmowego. Produkt idealny dla osób cierpiących na niestrawność i inne problemy żołądkowe.</p>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p>Emulsja Flying Rabbit skutecznie wspomaga trawienie i poprawia komfort żołądkowy.</p><p><b>Zalety emulsji Flying Rabbit:</b></p><ul><li>Łagodzi dolegliwości żołądkowe</li><li>Wspiera prawidłowe trawienie</li><li>Zawiera naturalne ekstrakty roślinne</li><li>Poprawia perystaltykę jelit</li><li>Delikatna dla żołądka</li></ul>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p><b>Kluczowe składniki i ich działanie:</b></p>
<ul>
<li><b>Ekstrakt z imbiru</b>&nbsp;– wspomaga trawienie i łagodzi wzdęcia.</li>
<li><b>Mięta pieprzowa</b>&nbsp;– działa kojąco na żołądek i jelita.</li>
<li><b>Ekstrakt z kurkumy</b>&nbsp;– wspiera regenerację przewodu pokarmowego.</li>
<li><b>Olejek anyżowy</b>&nbsp;– pomaga w eliminacji gazów i poprawia komfort trawienny.</li>
</ul>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p><b>Sposób użycia:</b></p>
<p>Przed użyciem wstrząsnąć.</p>
<p><b>Przyjmować:</b></p>
<ul>
<li><b>Dzieci do 12 lat:</b>&nbsp;po 5 ml emulsji 3 razy dziennie po posiłku.</li>
<li><b>Dorośli i dzieci w wieku 12 lat i starsze:</b>&nbsp;po 15 ml emulsji 3 razy dziennie po posiłku.</li>
</ul>
<p><b>Skład:</b>&nbsp;Ekstrakt z imbiru, mięta pieprzowa, ekstrakt z kurkumy, olejek anyżowy, inne naturalne składniki.</p>
<p><b>Środki ostrożności:</b></p>
<ul>
<li>Przechowywać w miejscu niedostępnym dla dzieci.</li>
<li>Nie przekraczać zalecanej dawki.</li>
<li>Nie stosować w przypadku nadwrażliwości na składniki.</li>
<li><b>NIE PRZECHOWYWAĆ W LODÓWCE</b></li>
</ul>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p><b>Warunki przechowywania:</b></p>
<p>Przechowywać w temperaturze pokojowej, w suchym miejscu, z dala od bezpośredniego światła słonecznego.</p>
<p><b>Objętość:</b>&nbsp;50ml</p>
<p><b>Kraj pochodzenia:</b>&nbsp;Tajlandia</p>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">
</div>
","
<div class=""item item-12"">
<h1>Thai Flying Rabbit Emulsion – Digestive System Support 50ml</h1>
<p>The Thai Flying Rabbit emulsion is a natural preparation that supports digestive health. It contains plant extracts that aid digestion, alleviate stomach discomfort, and support the regeneration of the digestive tract. The product is ideal for people suffering from indigestion and other stomach issues.</p>
</div>
<div class=""item item-6"">
</div>
<div class=""item item-6"">
<p>The Flying Rabbit emulsion effectively aids digestion and improves stomach comfort.</p><p>Advantages of the Flying Rabbit emulsion:</p><ul>Alleviates stomach discomfortSupports proper digestionContains natural plant extractsImproves intestinal peristalsisGentle on the stomach</ul>
</div>
<div class=""item item-6"">
</div>
<div class=""item item-6"">
<p>Key ingredients and their effects:</p>
<ul>Ginger extract– aids digestion and alleviates bloating.Peppermint– soothes the stomach and intestines.Turmeric extract– supports the regeneration of the digestive tract.Anise oil– helps eliminate gas and improves digestive comfort.</ul>
</div>
<div class=""item item-6"">
</div>
<div class=""item item-6"">
<p>Usage instructions:</p>
<p>Shake before use.</p>
<p>Take:</p>
<ul>Children under 12 years: 5 ml of the emulsion 3 times a day after meals.Adults and children aged 12 and older: 15 ml of the emulsion 3 times a day after meals.</ul>
<p>Ingredients: Ginger extract, peppermint, turmeric extract, anise oil, other natural ingredients.</p>
<p>Precautions:</p>
<ul>Keep out of reach of children.Do not exceed the recommended dose.Do not use in case of hypersensitivity to the ingredients.DO NOT STORE IN THE REFRIGERATOR</ul>
</div>
<div class=""item item-6"">
</div>
<div class=""item item-6"">
<p>Storage conditions:</p>
<p>Store at room temperature, in a dry place, away from direct sunlight.</p>
<p>Volume: 50ml</p>
<p>Country of origin: Thailand</p>
</div>
<div class=""item item-6"">
</div>
<div class=""item item-6"">
</div>
"
"{""contentId"":""8ba70483-08be-45e0-97ab-c338efff6b6e"",""fieldId"":""product.name"",""sequencePath"":[]}",TEXT,catalog-product,"Tajski Naturalny Balsam Rasyan z Ekstraktem Skorpiona, 50g","Thai Natural Rasyan Balm with Scorpion Extract, 50g"
"{""contentId"":""8ba70483-08be-45e0-97ab-c338efff6b6e"",""fieldId"":""product.description"",""sequencePath"":[]}",TEXT,catalog-product,"
<div class=""item item-12"">

<h2>Thai Body Balm Spa Rasyan - Tajski Balsam Rasyan z Ekstraktem Skorpiona, 50g</h2><p>Tajski balsam Rasyan z ekstraktem skorpiona to unikalna maść do masażu o silnym działaniu przeciwbólowym i rozgrzewającym. Naturalne składniki pomagają łagodzić bóle mięśniowe i stawowe, poprawiają krążenie oraz wspomagają regenerację po wysiłku fizycznym.</p>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p>Balsam Rasyan z ekstraktem skorpiona to doskonały wybór dla osób aktywnych fizycznie oraz tych, którzy odczuwają napięcie mięśniowe.</p><p><b>Zalety balsamu Rasyan:</b></p><ul><li>Silne działanie przeciwbólowe</li><li>Rozgrzewa i poprawia krążenie</li><li>Naturalne ekstrakty roślinne</li><li>Przyspiesza regenerację mięśni</li><li>Idealny do masażu terapeutycznego</li></ul>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p><b>Kluczowe składniki i ich działanie:</b></p><ul><li><b>Ekstrakt ze skorpiona</b> – wspomaga regenerację mięśni i działa przeciwbólowo.</li><li><b>Mentol</b> – zapewnia efekt chłodzenia i łagodzi ból.</li><li><b>Olejek eukaliptusowy</b> – poprawia krążenie i działa przeciwzapalnie.</li><li><b>Kamfora</b> – działa przeciwbólowo i regeneracyjnie.</li></ul>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p><b>Sposób użycia:</b></p><p>Niewielką ilość balsamu nanieść na skórę i delikatnie wmasować. Stosować 2-3 razy dziennie.</p><p><b>Skład:</b> Ekstrakt ze skorpiona, mentol, olejek eukaliptusowy, kamfora, inne naturalne składniki.</p><p><b>Środki ostrożności:</b> Unikać kontaktu z oczami i błonami śluzowymi. Nie stosować u dzieci poniżej 3. roku życia.</p>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p><b>Warunki przechowywania:</b></p><p>Przechowywać w temperaturze pokojowej, w suchym miejscu, z dala od bezpośredniego światła słonecznego.</p><p><b>Waga:</b> 50g</p><p><b>Kraj pochodzenia:</b> Tajlandia</p>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">
</div>
","
<div class=""item item-12"">
<h2>Thai Body Balm Spa Rasyan - Thai Rasyan Balm with Scorpion Extract, 50g</h2><p>Rasyan Thai balm with scorpion extract is a unique massage ointment with strong analgesic and warming effects. Natural ingredients help relieve muscle and joint pain, improve circulation, and support recovery after physical exertion.</p>
</div>
<div class=""item item-6"">
</div>
<div class=""item item-6"">
<p>Rasyan balm with scorpion extract is an excellent choice for physically active individuals and those experiencing muscle tension.</p><p>Advantages of Rasyan balm:</p><ul>Strong pain reliefWarms and improves circulationNatural plant extractsSpeeds up muscle recoveryIdeal for therapeutic massage</ul>
</div>
<div class=""item item-6"">
</div>
<div class=""item item-6"">
<p>Key ingredients and their effects:</p><ul>Scorpion extract– supports muscle recovery and provides pain relief.Menthol– provides a cooling effect and soothes pain.Eucalyptus oil– improves circulation and has anti-inflammatory properties.Camphor– offers pain relief and aids in regeneration.</ul>
</div>
<div class=""item item-6"">
</div>
<div class=""item item-6"">
<p>Usage instructions:</p><p>Apply a small amount of balm to the skin and gently massage it in. Use 2-3 times a day.</p><p>Ingredients: Scorpion extract, menthol, eucalyptus oil, camphor, other natural ingredients.</p><p>Precautions: Avoid contact with eyes and mucous membranes. Do not use on children under 3 years of age.</p>
</div>
<div class=""item item-6"">
</div>
<div class=""item item-6"">
<p>Storage conditions:</p><p>Store at room temperature, in a dry place, away from direct sunlight.</p><p>Weight: 50g</p><p>Country of origin: Thailand</p>
</div>
<div class=""item item-6"">
</div>
<div class=""item item-6"">
</div>
"
"{""contentId"":""6e367b49-f845-460f-93ba-8f81bd0959fe"",""fieldId"":""product.name"",""sequencePath"":[]}",TEXT,catalog-product,"Tajski Różowy Balsam Wangprom na ból, obrzęki i dla wrażliwej skóry 50g","Thai Pink Wangprom Balm for Pain, Swelling, and Sensitive Skin 50g"
"{""contentId"":""6e367b49-f845-460f-93ba-8f81bd0959fe"",""fieldId"":""product.description"",""sequencePath"":[]}",TEXT,catalog-product,"
<div class=""item item-12"">

<h2>Tajski różowy balsam Wangprom z mentolem, kamforą i borneolem | Wangprom Herb Borneol Essential Balm - Pink Cool Balm - Wangprom Herbal Pink Balm, 50 g</h2><p>Naturalny ziołowy balsam chłodzący marki Wangprom Herb (Borneol Essential Balm), oryginalny produkt z Tajlandii.</p>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p>Tajski różowy balsam Wangprom z lotosem to znany i ceniony preparat stworzony na bazie naturalnych składników. Dzięki swojej unikalnej recepturze łączy działanie rozgrzewające z efektem chłodzącym, przynosząc natychmiastową ulgę w bólach mięśni, stawów oraz objawach przeziębienia. Jego delikatna konsystencja, przyjemny kwiatowy zapach i łagodne działanie sprawiają, że jest to najbardziej subtelny balsam w linii produktów Wangprom – polecany dla dzieci, osób starszych i osób o jasnej, wrażliwej skórze.</p><p>Stworzony przez <b>Dr. Wang Proma Chelaema </b>– uznanego tajskiego specjalistę medycyny ziołowej, założyciela Wangprom Herb w 1997 roku.</p><p>Firma została uhonorowana przez Ministerstwo Zdrowia Tajlandii i posiada certyfikaty zgodności z międzynarodowymi normami bezpieczeństwa i skuteczności.</p>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p><b>Zastosowanie i działanie:</b></p><p>✅ Łagodzi objawy przeziębienia i zapchany nos (można stosować jako inhalator)</p><p>✅ Działa kojąco na mięśnie i stawy – idealny do masażu</p><p>✅ Pomaga w przypadku bólu głowy, migreny i zawrotów głowy (wystarczy posmarować skronie)</p><p>✅ Przynosi ulgę przy ukąszeniach owadów i podrażnieniach skóry</p><p>✅ Odświeża i chłodzi dzięki wysokiej zawartości mentolu</p><p>✅ Ma właściwości przeciwzapalne i antyseptyczne</p><p>✅ Redukuje stres i napięcie nerwowe</p><p>✅ Polecany również kobietom noszącym obcasy – łagodzi ból nóg</p>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p><b>Skład (na 100 g):</b></p><ul><li>Mentol – 70 g</li><li>Borneol – 5 g</li><li>Kamfora – 5 g</li></ul><p>Inne składniki lecznicze (nieujawnione)</p><p><b>Sposób użycia:</b></p><ul><li>Tylko do użytku zewnętrznego.</li><li>Nałożyć niewielką ilość balsamu na wybrane miejsce (np. kark, skronie, klatka piersiowa, plecy, mięśnie, stawy) i wmasować kolistymi ruchami aż do wchłonięcia.</li><li>Można stosować 2-3 razy dziennie.</li><li>W przypadku przeziębienia – rozetrzeć na klatce piersiowej i wdychać opary.</li><li>Przy ukąszeniach owadów – nanieść punktowo na miejsce ukąszenia.</li><li>W przypadku bólu nóg – rozmasować stopy i łydki, najlepiej przed snem.</li></ul>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p><b>Przeciwwskazania:</b></p><ul><li>Nie stosować na otwarte rany ani błony śluzowe</li><li>Unikać kontaktu z oczami</li><li>Produkt nieodpowiedni dla osób z alergią na którykolwiek ze składników</li></ul><p>Nie stosować u dzieci poniżej 2. roku życia</p><p><b>Warunki przechowywania:</b></p><p>Przechowywać w temperaturze pokojowej, w suchym miejscu, z dala od bezpośredniego światła słonecznego.</p><p><b>Opakowanie</b>:&nbsp;Szklany słoiczek 50 g z kartonowym pudełkiem.</p><p><b>Waga:</b> 50g</p><p><b>Kraj pochodzenia:</b> Tajlandia - <b>ORYGINALNY</b></p>

</div>


<div class=""item item-12"">

<p>Wangprom Herb to lider wśród producentów tradycyjnych tajskich preparatów ziołowych. Marka cieszy się ogromnym zaufaniem w Tajlandii i poza jej granicami. Wybierz naturalną moc ziół w walce z codziennymi dolegliwościami – wybierz Wangprom&nbsp;Pink Balm</p>

</div>
","
<div class=""item item-12"">
<h2>Thai pink Wangprom balm with menthol, camphor, and borneol | Wangprom Herb Borneol Essential Balm - Pink Cool Balm - Wangprom Herbal Pink Balm, 50 g</h2><p>Natural herbal cooling balm by Wangprom Herb (Borneol Essential Balm), an original product from Thailand.</p>
</div>
<div class=""item item-6"">
</div>
<div class=""item item-6"">
<p>Thai pink balm Wangprom with lotus is a well-known and valued preparation created based on natural ingredients. Thanks to its unique formula, it combines warming action with a cooling effect, providing immediate relief from muscle and joint pain as well as cold symptoms. Its delicate consistency, pleasant floral scent, and gentle action make it the most subtle balm in the Wangprom product line – recommended for children, the elderly, and people with fair, sensitive skin.</p><p>Created by Dr. Wang Proma Chelaema – a recognized Thai herbal medicine specialist, founder of Wangprom Herb in 1997.</p><p>The company has been honored by the Ministry of Health of Thailand and holds certificates of compliance with international safety and efficacy standards.</p>
</div>
<div class=""item item-6"">
</div>
<div class=""item item-6"">
<p>Application and effects:</p><p>✅ Relieves cold symptoms and stuffy nose (can be used as an inhaler)</p><p>✅ Soothes muscles and joints – ideal for massage</p><p>✅ Helps with headaches, migraines, and dizziness (just apply to the temples)</p><p>✅ Provides relief from insect bites and skin irritations</p><p>✅ Refreshes and cools thanks to high menthol content</p><p>✅ Has anti-inflammatory and antiseptic properties</p><p>✅ Reduces stress and nervous tension</p><p>✅ Also recommended for women wearing heels – relieves leg pain</p>
</div>
<div class=""item item-6"">
</div>
<div class=""item item-6"">
<p>Ingredients (per 100 g):</p><ul>Menthol – 70 gBorneol – 5 gCamphor – 5 g</ul><p>Other medicinal ingredients (undisclosed)</p><p>Usage instructions:</p><ul>For external use only.Apply a small amount of balm to the chosen area (e.g., neck, temples, chest, back, muscles, joints) and massage in circular motions until absorbed.Can be used 2-3 times a day.In case of a cold – rub on the chest and inhale the vapors.For insect bites – apply directly to the bite site.In case of leg pain – massage feet and calves, preferably before bedtime.</ul>
</div>
<div class=""item item-6"">
</div>
<div class=""item item-6"">
<p>Contraindications:</p><ul>Do not apply to open wounds or mucous membranesAvoid contact with eyesProduct is not suitable for individuals allergic to any of the ingredients</ul><p>Do not use on children under 2 years of age</p><p>Storage conditions:</p><p>Store at room temperature, in a dry place, away from direct sunlight.</p><p>Packaging: Glass jar 50 g with a cardboard box.</p><p>Weight: 50g</p><p>Country of origin: Thailand - ORIGINAL</p>
</div>
<div class=""item item-12"">
<p>Wangprom Herb is a leader among producers of traditional Thai herbal preparations. The brand enjoys great trust in Thailand and beyond its borders. Choose the natural power of herbs in the fight against everyday ailments – choose Wangprom Pink Balm</p>
</div>
"
"{""contentId"":""18c9bf08-459c-4a58-aa29-4d68a9238424"",""fieldId"":""product.name"",""sequencePath"":[]}",TEXT,catalog-product,"Tajski Naturalny Olejek Inhalacyjny z Ananasem Banna Aromaterapia, 10 ml","Thai Natural Inhalation Oil with Pineapple Banna Aromatherapy, 10 ml"
"{""contentId"":""18c9bf08-459c-4a58-aa29-4d68a9238424"",""fieldId"":""product.description"",""sequencePath"":[]}",TEXT,catalog-product,"
<div class=""item item-12"">

<h2>Odkryj tajski balsam inhalacyjny z ananasem Banna</h2><p>Naturalny olejek, który działa kojąco na ciało i umysł. Balsam zawiera mieszankę olejków eterycznych, takich jak kamforowe, eukaliptusowe, mentolowe i ananasowe, które pomagają w walce z bólem głowy, stresem oraz problemami z układem oddechowym. Idealny do stosowania w podróży, przy bólach głowy czy przeziębieniu.</p><h2>Korzyści:</h2><ul> <li>Pomaga przy bólu głowy i zawrotach głowy</li> <li>Wspiera układ oddechowy i łagodzi objawy przeziębienia</li> <li>Pomaga w walce z nudnościami i chorobą lokomocyjną</li> <li>Relaksuje i poprawia nastrój dzięki zapachowi ananasa</li></ul><h2>Idealny do:</h2><ul> <li>Pomocy przy bólach głowy i zawrotach głowy</li> <li>Łagodzenia objawów przeziębienia i grypy</li> <li>Redukcji stresu i poprawy nastroju</li></ul>

</div>
","
<div class=""item item-12"">
<h2>Discover the Thai inhalation balm with Banna pineapple</h2><p>A natural oil that soothes the body and mind. The balm contains a blend of essential oils, such as camphor, eucalyptus, menthol, and pineapple, which help combat headaches, stress, and respiratory issues. Perfect for use while traveling, for headaches, or during a cold.</p><h2>Benefits:</h2><ul>It helps with headaches and dizzinessSupports the respiratory system and alleviates cold symptomsHelps combat nausea and motion sicknessRelaxes and improves mood with the scent of pineapple</ul><h2>Perfect for:</h2><ul>Helps with headaches and dizzinessAlleviates symptoms of colds and fluReduces stress and improves mood</ul>
</div>
"
"{""contentId"":""422f958e-551b-48e4-9eeb-55b8c0187309"",""fieldId"":""product.name"",""sequencePath"":[]}",TEXT,catalog-product,"Tajski Balsam Czarna King Kobra Royal Thai Herb, Maść Rozgrzewająca, 50g","Thai Balm Black King Cobra Royal Thai Herb, Warming Ointment, 50g"
"{""contentId"":""422f958e-551b-48e4-9eeb-55b8c0187309"",""fieldId"":""product.description"",""sequencePath"":[]}",TEXT,catalog-product,"
<div class=""item item-12"">

<h2>Tajski Black Balm King Cobra Royal Thai Herb, Maść Rozgrzewająca, 50g</h2><p>Tajski balsam Czarna Kobra Royal Thai Herb to wyjątkowa maść o silnym działaniu rozgrzewającym i przeciwbólowym. Zawiera naturalne składniki, które pomagają łagodzić bóle stawów, mięśni oraz reumatyczne. Doskonały wybór dla osób zmagających się z artretyzmem i napięciem mięśniowym.</p>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p>Black Balm King Cobra Royal Thai Herb skutecznie rozgrzewa, poprawia krążenie i działa relaksująco na zmęczone mięśnie.</p><p><b>Zalety balsamu Royal Thai Herb:</b></p><ul><li>Silne działanie rozgrzewające</li><li>Łagodzi bóle stawowe i mięśniowe</li><li>Naturalne składniki roślinne</li><li>Poprawia krążenie krwi</li><li>Idealny do masażu relaksacyjnego</li></ul>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p><b>Kluczowe składniki i ich działanie:</b></p><ul><li><b>Mentol</b> – działa chłodząco i przeciwbólowo.</li><li><b>Olejek eukaliptusowy</b> – wspiera regenerację i zmniejsza napięcie mięśniowe.</li><li><b>Kamfora</b> – działa rozgrzewająco i przeciwzapalnie.</li><li><b>Ekstrakt z jadu kobry</b> – tradycyjny składnik stosowany w medycynie azjatyckiej.</li></ul>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p><b>Sposób użycia:</b></p><p>Niewielką ilość balsamu nanieść na skórę i delikatnie wmasować. Stosować 2-3 razy dziennie.</p><p><b>Skład:</b> Mentol, olejek eukaliptusowy, kamfora, ekstrakt z jadu kobry, inne naturalne składniki.</p><p><b>Środki ostrożności:</b> Unikać kontaktu z oczami i błonami śluzowymi. Nie stosować u dzieci poniżej 3. roku życia.</p>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">

<p><b>Warunki przechowywania:</b></p><p>Przechowywać w temperaturze pokojowej, w suchym miejscu, z dala od bezpośredniego światła słonecznego.</p><p><b>Waga:</b> 50g</p><p><b>Kraj pochodzenia:</b> Tajlandia</p>

</div>


<div class=""item item-6"">
</div>
<div class=""item item-6"">
</div>
","
<div class=""item item-12"">
<h2>Thai Black Balm King Cobra Royal Thai Herb, Warming Ointment, 50g</h2><p>Thai Balm Black Cobra Royal Thai Herb is a unique ointment with strong warming and pain-relieving effects. It contains natural ingredients that help alleviate joint, muscle, and rheumatic pains. An excellent choice for those struggling with arthritis and muscle tension.</p>
</div>
<div class=""item item-6"">
</div>
<div class=""item item-6"">
<p>Black Balm King Cobra Royal Thai Herb effectively warms, improves circulation, and relaxes tired muscles.</p><p>Advantages of Royal Thai Herb Balm:</p><ul>Strong warming effectRelieves joint and muscle painNatural plant ingredientsImproves blood circulationIdeal for relaxation massage</ul>
</div>
<div class=""item item-6"">
</div>
<div class=""item item-6"">
<p>Key ingredients and their effects:</p><ul>Menthol– provides a cooling and analgesic effect.Eucalyptus oil– supports regeneration and reduces muscle tension.Camphor– has a warming and anti-inflammatory effect.Cobra venom extract– a traditional ingredient used in Asian medicine.</ul>
</div>
<div class=""item item-6"">
</div>
<div class=""item item-6"">
<p>How to use:</p><p>Apply a small amount of balm to the skin and gently massage it in. Use 2-3 times a day.</p><p>Ingredients: Menthol, eucalyptus oil, camphor, cobra venom extract, other natural ingredients.</p><p>Precautions: Avoid contact with eyes and mucous membranes. Do not use on children under 3 years of age.</p>
</div>
<div class=""item item-6"">
</div>
<div class=""item item-6"">
<p>Storage conditions:</p><p>Store at room temperature, in a dry place, away from direct sunlight.</p><p>Weight: 50g</p><p>Country of origin: Thailand</p>
</div>
<div class=""item item-6"">
</div>
<div class=""item item-6"">
</div>
"
